country_code,year,illiterate_prop,age_group,sex
204,2010,62.1518686202273,20--39,Both
204,2015,61.052118664967715,20--39,Both
204,2020,55.480546585499006,20--39,Both
204,2025,52.674241887158566,20--39,Both
208,1970,1.5640276373959248,20--39,Both
208,1975,1.1813118120022577,20--39,Both
208,1980,0.8602303578422322,20--39,Both
208,1985,0.6008190526990801,20--39,Both
208,1990,0.4031136743560328,20--39,Both
208,1995,0.26527014052155334,20--39,Both
208,2000,0.1843030450604085,20--39,Both
208,2005,0.15853617999028477,20--39,Both
208,2010,0.18629333732886877,20--39,Both
208,2015,0.2658983090938472,20--39,Both
208,2020,0,20--39,Both
208,2025,0,20--39,Both
214,1970,23.901151983388754,20--39,Both
214,1975,21.545856701445157,20--39,Both
214,1980,19.253552989222595,20--39,Both
214,1985,17.025054269517227,20--39,Both
214,1990,14.861173965125223,20--39,Both
214,1995,12.769361393226285,20--39,Both
214,2000,10.759988074475114,20--39,Both
214,2005,8.838250736880351,20--39,Both
214,2010,7.009346108450635,20--39,Both
214,2015,5.27847091719461,20--39,Both
214,2020,2.7134465083777854,20--39,Both
214,2025,0.6387602891932557,20--39,Both
218,1970,20.623781323978363,20--39,Both
218,1975,17.417414606260092,20--39,Both
218,1980,14.607524042017413,20--39,Both
218,1985,12.195578961979528,20--39,Both
218,1990,10.183048696875627,20--39,Both
218,1995,8.561709224346808,20--39,Both
218,2000,7.316420017555965,20--39,Both
218,2005,6.438275650514998,20--39,Both
218,2010,5.918370697235793,20--39,Both
218,2015,5.747799731730253,20--39,Both
218,2020,1.8515856300257307,20--39,Both
218,2025,0.20623896362139268,20--39,Both
222,1970,34.691689194020455,20--39,Both
222,1975,31.443928253981092,20--39,Both
222,1980,28.32485296244136,20--39,Both
222,1985,25.334125542794578,20--39,Both
222,1990,22.47140821843411,20--39,Both
222,1995,19.735596709359832,20--39,Both
222,2000,17.12557629288576,20--39,Both
222,2005,14.640993528376418,20--39,Both
222,2010,12.28149497519634,20--39,Both
222,2015,10.046727192710065,20--39,Both
222,2020,6.552224373939642,20--39,Both
222,2025,3.8145125715613717,20--39,Both
226,1970,51.144360610936374,20--39,Both
226,1975,43.505452712036465,20--39,Both
