country_code,name,year,age_group,sex,mean_skills,oecd_standard,saf
440,Lithuania,2005,20--64,Both,265.8246248484214,262.58093963833664,1.0123530870692763
440,Lithuania,2010,20--64,Both,266.11223973212674,262.58093963833664,1.013448425078583
440,Lithuania,2015,20--64,Both,265.63407575132095,262.58093963833664,1.011627409503483
440,Lithuania,2020,20--64,Both,239.2139705018215,262.58093963833664,0.9110104138986652
440,Lithuania,2025,20--64,Both,241.13740677549913,262.58093963833664,0.9183355315417312
440,Lithuania,1970,20--64,Female,268.58542807339444,262.58093963833664,1.0228671907539368
440,Lithuania,1975,20--64,Female,268.63337558911763,262.58093963833664,1.0230497916532604
440,Lithuania,1980,20--64,Female,267.85021202815705,262.58093963833664,1.0200672310681727
440,Lithuania,1985,20--64,Female,267.50194006338836,262.58093963833664,1.0187408896922587
440,Lithuania,1990,20--64,Female,267.3692571599244,262.58093963833664,1.0182355868182318
440,Lithuania,1995,20--64,Female,267.6051673508163,262.58093963833664,1.0191340152845814
440,Lithuania,2000,20--64,Female,268.0030346542248,262.58093963833664,1.020649233045461
440,Lithuania,2005,20--64,Female,267.9424148034731,262.58093963833664,1.020418371464894
440,Lithuania,2010,20--64,Female,267.94051336704456,262.58093963833664,1.020411130130351
440,Lithuania,2015,20--64,Female,267.5123812671313,262.58093963833664,1.018780653445703
440,Lithuania,2020,20--64,Female,240.94884928954113,262.58093963833664,0.917617438727311
440,Lithuania,2025,20--64,Female,242.55084270957167,262.58093963833664,0.9237183896273917
440,Lithuania,1970,20--64,Male,274.2954437085039,262.58093963833664,1.0446129261564154
440,Lithuania,1975,20--64,Male,273.26980272107267,262.58093963833664,1.0407069267763998
440,Lithuania,1980,20--64,Male,271.5010125466155,262.58093963833664,1.0339707555337598
440,Lithuania,1985,20--64,Male,268.0076358572554,262.58093963833664,1.020666756034894
440,Lithuania,1990,20--64,Male,266.77095053590796,262.58093963833664,1.0159570260634392
440,Lithuania,1995,20--64,Male,265.8493885587164,262.58093963833664,1.0124473959339224
